,City,score,lat,lng,Rank
26,Raleigh,7.417746631910283,35.8325,-78.6435,1
17,Salt Lake City,7.296498491827129,40.7777,-111.9306,2
61,Boulder,6.9280045065985565,40.0249,-105.2523,3
22,Madison,6.897593235288657,43.0826,-89.3931,4
63,San Diego,6.884802598880911,32.8312,-117.1225,5
67,Boston,6.823612019755561,42.3188,-71.0846,6
15,St. Louis,6.7380975729574955,38.6358,-90.2451,7
40,Austin,6.695514915818363,30.3004,-97.7522,8
60,Chicago,6.660139879451451,41.8373,-87.6862,9
34,Pittsburgh,6.567916423120848,40.4396,-79.9762,10
6,San Antonio,6.530507327799105,29.4658,-98.5253,11
41,Portland,6.48949301419514,45.5372,-122.65,12
5,Des Moines,6.473523625623626,41.5725,-93.6105,13
31,Dallas,6.389885393842477,32.7936,-96.7662,14
21,Columbus,6.378081728711881,39.9862,-82.985,15
18,Buffalo,6.350057621039308,42.9016,-78.8487,16
57,Denver,6.33916728529056,39.7621,-104.8759,17
42,Portland,6.298729961986305,45.5372,-122.65,18
0,Oklahoma City,6.269957085233678,35.4676,-97.5136,19
13,Phoenix,6.250336126131359,33.5722,-112.0891,20
66,Los Angeles,6.212868914723127,34.1139,-118.4068,21
23,Colorado Springs,6.20203806064578,38.8674,-104.7606,22
10,Cincinnati,6.189285482696745,39.1413,-84.5061,23
2,Boise,6.127428485938045,43.6007,-116.2312,24
69,New York,6.098610542928634,40.6943,-73.9249,25
30,Houston,6.0975178128247265,29.7863,-95.3889,26
12,Las Vegas,6.051205953056491,36.2333,-115.2654,27
37,Atlanta,6.0378548427246,33.7627,-84.4224,28
25,Eugene,6.011845558800537,44.0563,-123.1173,29
65,Seattle,6.0101189713868175,47.6211,-122.3244,30
11,Cleveland,5.921713545963178,41.4767,-81.6804,31
14,Kansas City,5.887586595625332,39.1239,-94.5541,32
27,Indianapolis,5.83698211975441,39.7771,-86.1458,33
43,Portland,5.836973120295935,45.5372,-122.65,34
7,Omaha,5.833626980696786,41.2627,-96.0522,35
16,Richmond,5.790646276436671,37.5295,-77.4756,36
35,Charlotte,5.678221752400959,35.208,-80.8304,37
38,Nashville,5.660043679108226,36.1715,-86.7843,38
44,Portland,5.6462100680871,45.5372,-122.65,39
4,Albuquerque,5.607803271037291,35.1053,-106.6464,40
29,Milwaukee,5.5391142070919,43.0642,-87.9673,41
33,Orlando,5.529107726431553,28.4772,-81.3369,42
9,Chattanooga,5.510206481990386,35.0657,-85.2488,43
19,Detroit,5.4922434652210885,42.3834,-83.1024,44
58,Philadelphia,5.463569753629755,40.0077,-75.1339,45
20,Rochester,5.364088699503249,43.168,-77.6162,46
24,Jacksonville,5.2943841026712635,30.3322,-81.6749,47
64,Miami,5.2173189656604135,25.7839,-80.2102,48
1,Louisville,5.197891028779416,38.1663,-85.6485,49
32,Asheville,5.0393618169752425,35.5704,-82.5536,50
3,Knoxville,5.038837322641089,35.9692,-83.9496,51
45,Portland,4.962077870592006,45.5372,-122.65,52
62,Charleston,4.863986738483641,32.8153,-79.9628,53
46,Portland,4.771314818383171,45.5372,-122.65,54
59,Anchorage,4.54708259593708,61.1508,-149.1091,55
8,Memphis,4.536247770633663,35.1046,-89.9773,56
68,Honolulu,4.402015926352398,21.3294,-157.846,57
36,New Orleans,4.359077705329537,30.0687,-89.9288,58
47,Portland,4.309557976692802,45.5372,-122.65,59
28,Birmingham,4.1870409918858975,33.5277,-86.7987,60
48,Portland,4.118794924483966,45.5372,-122.65,61
39,Baltimore,3.892736677433186,39.3051,-76.6144,62
49,Portland,3.836491550066296,45.5372,-122.65,63
72,Fort Collins,3.7213666394809692,40.5478,-105.0656,64
50,Portland,3.6457284978574607,45.5372,-122.65,65
70,Providence,3.3947300905524163,41.823,-71.4187,66
74,Palo Alto,3.3409008040856305,37.3913,-122.1468,67
51,Portland,3.183971656167092,45.5372,-122.65,68
73,San Luis Obispo,3.120059543666476,35.2669,-120.6691,69
52,Portland,2.9932086039582564,45.5372,-122.65,70
71,Bozeman,2.9243636806495497,45.6832,-111.0552,71
53,Portland,2.309076406463163,45.5372,-122.65,72
54,Portland,2.1183133542543273,45.5372,-122.65,73
55,Portland,1.656556512563958,45.5372,-122.65,74
56,Portland,1.4657934603551228,45.5372,-122.65,75
