,rank_2020,City,state,population_2020,population_2010,land_area_sqmi,density,one_adult_no_kids_living_wage,one_adult_one_kid_living_wage,one_adult_two_kids_living_wage,one_adult_three_kids_living_wage,two_adults_one_working_no_kids_living_wage,two_adults_one_working_one_kid_living_wage,two_adults_one_working_two_kids_living_wage,two_adults_one_working_three_kids_living_wage,two_adults_both_working_no_kids_living_wage,two_adults_both_working_one_kid_living_wage,two_adults_both_working_two_kids_living_wage,two_adults_both_working_three_kids_living_wage,Rank,Total cost of living,Median contract rent,Food cost per person,Utility costs,Gas costs,Median individual income,Median household income
0,1,New York,New York,8804190,8175133,300.5,29298,20.0,38.99,49.18,64.3,29.16,34.35,38.13,42.42,14.03,20.95,26.53,32.4,12,2176,1385,486,158,147,35663,69407
1,2,Los Angeles,California,3898747,3792621,469.5,8304,19.22,41.55,51.3,67.56,31.01,37.96,41.94,47.75,14.62,22.36,27.73,34.01,13,2171,1436,370,164,200,30804,67418
2,3,Chicago,Illinois,2746388,2695598,227.7,12061,16.08,32.25,40.2,51.69,25.41,29.73,33.38,35.93,12.28,17.52,22.01,25.94,37,1635,992,328,156,159,34489,61811
3,4,Houston,Texas,2304580,2099451,640.4,3599,14.29,29.09,35.73,46.02,22.88,27.54,30.93,33.69,11.14,15.85,19.63,23.09,51,1502,946,283,150,122,30625,52450
4,5,Phoenix,Arizona,1608139,1445632,518.0,3105,15.41,29.44,35.4,46.01,24.85,29.25,32.98,36.95,12.03,16.21,19.65,23.23,44,1569,943,305,180,141,31503,60931
5,6,Philadelphia,Pennsylvania,1603797,1526006,134.4,11933,14.47,30.17,38.31,49.53,22.94,27.23,30.64,33.12,10.97,16.42,20.95,25.0,43,1586,906,396,142,142,26937,47474
6,7,San Antonio,Texas,1434625,1327407,498.8,2876,13.47,28.67,35.22,44.94,22.46,27.21,30.61,32.89,10.73,15.64,19.38,22.55,55,1429,876,281,170,103,27359,53751
7,8,San Diego,California,1386932,1307402,325.9,4256,19.63,41.41,50.88,67.95,30.89,38.1,42.08,48.98,14.84,22.29,27.52,34.21,7,2390,1707,352,139,192,39947,85507
8,9,Dallas,Texas,1304379,1197816,339.6,3841,15.0,30.51,37.35,48.03,23.84,28.74,32.14,35.07,11.5,16.56,20.44,24.1,49,1543,979,294,153,117,31877,55332
9,10,San Jose,California,1013240,945942,178.3,5683,25.12,50.18,61.69,81.63,37.33,44.83,48.81,56.53,17.37,26.68,32.93,41.05,2,2812,2131,358,143,180,44890,115893
10,11,Austin,Texas,961855,790390,319.9,3007,15.42,31.33,38.44,49.34,24.39,29.3,32.69,35.58,11.71,16.97,20.99,24.75,29,1759,1189,310,142,118,41482,75413
11,12,Jacksonville,Florida,949611,821784,747.3,1271,13.48,29.61,36.72,47.1,23.02,27.58,30.98,33.34,10.94,16.11,20.13,23.63,45,1566,936,368,142,120,30940,56975
12,13,Fort Worth,Texas,918915,741206,342.9,2680,15.0,30.51,37.35,48.03,23.84,28.74,32.14,35.07,11.5,16.56,20.44,24.1,48,1544,924,317,192,111,32058,65356
13,14,Columbus,Ohio,905748,787033,220.0,4117,13.9,29.99,38.26,50.29,22.83,27.07,30.67,32.73,11.02,16.37,21.14,25.24,53,1471,827,332,183,130,31831,57118
14,15,Indianapolis,Indiana,887642,820445,361.6,2455,13.96,28.33,34.8,44.54,22.76,27.2,30.78,33.1,11.03,15.54,19.27,22.36,67,1315,731,318,149,117,30666,49661
