,City,score,lat,lng,Rank
1,New York,8.133621271133908,40.6943,-73.9249,1
2,Boston,7.761498964145352,42.3188,-71.0846,2
0,Los Angeles,7.630375821700007,34.1139,-118.4068,3
4,Chicago,7.401876716562269,41.8373,-87.6862,4
5,San Diego,7.3036715712178,32.8312,-117.1225,5
7,Seattle,6.836915561571255,47.6211,-122.3244,6
6,Austin,6.780299217737689,30.3004,-97.7522,7
12,Salt Lake City,6.612582568985134,40.7777,-111.9306,8
9,Denver,6.536387350327515,39.7621,-104.8759,9
8,Atlanta,6.456869271413444,33.7627,-84.4224,10
31,Boulder,6.408166430997366,40.0249,-105.2523,11
11,Dallas,6.1119851218365335,32.7936,-96.7662,12
14,Portland,6.047279917047209,45.5372,-122.65,13
34,Raleigh,5.970837822785381,35.8325,-78.6435,14
15,Portland,5.96770033746763,45.5372,-122.65,15
13,Houston,5.866058974498516,29.7863,-95.3889,16
32,Phoenix,5.713116092124867,33.5722,-112.0891,17
10,Miami,5.663760860011121,25.7839,-80.2102,18
42,St. Louis,5.617777484057665,38.6358,-90.2451,19
30,Philadelphia,5.6125874385988945,40.0077,-75.1339,20
39,Pittsburgh,5.520359514714698,40.4396,-79.9762,21
37,Las Vegas,5.290843922876072,36.2333,-115.2654,22
40,San Antonio,5.26611367085129,29.4658,-98.5253,23
33,Columbus,5.242348269203708,39.9862,-82.985,24
16,Portland,4.9645925785459175,45.5372,-122.65,25
41,Indianapolis,4.928085791692345,39.7771,-86.1458,26
17,Portland,4.885012998966338,45.5372,-122.65,27
48,Madison,4.841751429716854,43.0826,-89.3931,28
35,Nashville,4.8161775043269435,36.1715,-86.7843,29
3,Palo Alto,4.810199616966438,37.3913,-122.1468,30
38,Orlando,4.77179153887884,28.4772,-81.3369,31
44,Cincinnati,4.765957331004475,39.1413,-84.5061,32
18,Portland,4.659285773562583,45.5372,-122.65,33
43,Charlotte,4.594937208996399,35.208,-80.8304,34
19,Portland,4.579706193983004,45.5372,-122.65,35
36,Detroit,4.560284915864668,42.3834,-83.1024,36
45,Cleveland,4.528843934697786,41.4767,-81.6804,37
53,Colorado Springs,4.3036077054474156,38.8674,-104.7606,38
55,Richmond,4.272990208833534,37.5295,-77.4756,39
52,Boise,4.230197532739995,43.6007,-116.2312,40
49,Milwaukee,4.212918977082462,43.0642,-87.9673,41
56,Buffalo,4.197149377706516,42.9016,-78.8487,42
22,Portland,4.175644306281165,45.5372,-122.65,43
67,Oklahoma City,4.130051768989306,35.4676,-97.5136,44
50,Charleston,4.110534658713973,32.8153,-79.9628,45
23,Portland,4.096064726701585,45.5372,-122.65,46
57,Kansas City,4.0822567414359705,39.1239,-94.5541,47
63,Des Moines,3.9474499697390737,41.5725,-93.6105,48
65,Eugene,3.9180912865410127,44.0563,-123.1173,49
60,Albuquerque,3.8283239840464485,35.1053,-106.6464,50
69,Honolulu,3.820494064921419,21.3294,-157.846,51
46,Jacksonville,3.8050484918996084,30.3322,-81.6749,52
20,Portland,3.576598435061292,45.5372,-122.65,53
51,Chattanooga,3.519214617553298,35.0657,-85.2488,54
21,Portland,3.4970188554817123,45.5372,-122.65,55
59,Rochester,3.4392591022037626,43.168,-77.6162,56
70,Omaha,3.399060000816215,41.2627,-96.0522,57
58,New Orleans,3.3964459137156764,30.0687,-89.9288,58
54,Louisville,3.224709823526678,38.1663,-85.6485,59
71,Anchorage,3.12982266247392,61.1508,-149.1091,60
24,Portland,3.092956967779873,45.5372,-122.65,61
25,Portland,3.0133773882002934,45.5372,-122.65,62
62,Memphis,2.9440656818533815,35.1046,-89.9773,63
66,Fort Collins,2.878409419109684,40.5478,-105.0656,64
47,San Luis Obispo,2.864013048273441,35.2669,-120.6691,65
64,Providence,2.8574624565465245,41.823,-71.4187,66
26,Portland,2.7876501627965387,45.5372,-122.65,67
68,Knoxville,2.772642645113174,35.9692,-83.9496,68
72,Asheville,2.716819053123823,35.5704,-82.5536,69
27,Portland,2.708070583216959,45.5372,-122.65,70
61,Birmingham,2.544866454858061,33.5277,-86.7987,71
74,Baltimore,2.196256916114589,39.3051,-76.6144,72
73,Bozeman,1.888477673108614,45.6832,-111.0552,73
28,Portland,1.7049628242952466,45.5372,-122.65,74
29,Portland,1.625383244715667,45.5372,-122.65,75
